Country,FechasF,AD,Years,Montds,Days
Afghanistan,1919-08-19,2022-05-23,102,1233,37533
Albania,1912-11-28,2022-05-23,109,1313,39988
Algeria,1962-07-05,2022-05-23,59,718,21872
Angola,1975-11-11,2022-05-23,46,558,16995
Antigua and Barbuda,1981-11-01,2022-05-23,40,486,14813
Argentina,1816-07-09,2022-05-23,205,2470,75193
Armenia,1918-05-28,2022-05-23,103,1247,37981
Armenia,1991-09-21,2022-05-23,30,368,11202
Australia,1788-01-26,2022-05-23,234,2811,85584
Austria,1955-10-26,2022-05-23,66,798,24316
Azerbaijan,1918-05-28,2022-05-23,103,1247,37981
Azerbaijan,1991-10-18,2022-05-23,30,367,11175
"Bahamas, The",1973-07-10,2022-05-23,48,586,17849
Bahrain,1971-12-16,2022-05-23,50,605,18421
Bangladesh,1971-03-26,2022-05-23,51,613,18686
Bangladesh,1971-12-16,2022-05-23,50,605,18421
Barbados,1966-11-30,2022-05-23,55,665,20263
Belarus,1991-07-03,2022-05-23,30,370,11282
Belgium,1831-07-21,2022-05-23,190,2290,69703
Belize,1981-09-21,2022-05-23,40,488,14854
Benin,1960-08-01,2022-05-23,61,741,22575
Bhutan,1907-12-17,2022-05-23,114,1373,41796
Bolivia,1825-08-06,2022-05-23,196,2361,71878
Bosnia and Herzegovina,1992-03-01,2022-05-23,30,362,11040
Botswana,1966-09-30,2022-05-23,55,667,20324
Brazil,1822-09-07,2022-05-23,199,2396,72942
Brunei,1984-02-23,2022-05-23,38,459,13969
Bulgaria,1878-03-03,2022-05-23,144,1730,52676
Bulgaria,1908-09-22,2022-05-23,113,1364,41516
Burkina Faso,1958-12-11,2022-05-23,63,761,23174
Burkina Faso,1960-08-05,2022-05-23,61,741,22571
Burundi,1962-07-01,2022-05-23,59,718,21876
Cambodia,1953-11-09,2022-05-23,68,822,25032
Cameroon,1960-05-20,2022-05-23,62,744,22648
Canada,1867-07-01,2022-05-23,154,1858,56574
Cape Verde,1975-07-05,2022-05-23,46,562,17124
Central African Republic,1958-12-01,2022-05-23,63,761,23184
Central African Republic,1960-08-13,2022-05-23,61,741,22563
Chad,1958-11-28,2022-05-23,63,761,23187
Chad,1960-08-11,2022-05-23,61,741,22565
Chile,1810-09-18,2022-05-23,211,2540,77314
"China, People's Republic of",1949-10-01,2022-05-23,72,871,26532
"China, Republic of",1911-10-10,2022-05-23,110,1327,40403
Colombia,1810-07-20,2022-05-23,211,2542,77374
Comoros,1975-07-06,2022-05-23,46,562,17123
"Congo, Democratic Republic of the",1960-06-30,2022-05-23,61,742,22607
"Congo, Republic of the",1958-11-28,2022-05-23,63,761,23187
"Congo, Republic of the",1960-08-15,2022-05-23,61,741,22561
Costa Rica,1821-09-15,2022-05-23,200,2408,73299
Croatia,1990-05-30,2022-05-23,31,383,11681
Cuba,1868-10-10,2022-05-23,153,1843,56107
Cyprus,1955-04-01,2022-05-23,67,805,24524
Cyprus,1960-10-01,2022-05-23,61,739,22514
Czech Republic,1918-10-28,2022-05-23,103,1242,37828
Czech Republic,1993-01-01,2022-05-23,29,352,10734
Denmark,1849-06-05,2022-05-23,172,2075,63174
Djibouti,1977-06-27,2022-05-23,44,538,16401
Dominica,1978-11-03,2022-05-23,43,522,15907
Dominican Republic,1821-02-27,2022-05-23,201,2414,73499
East Timor,2002-05-20,2022-05-23,20,240,7308
Ecuador,1809-08-10,2022-05-23,212,2553,77718
Ecuador,1822-05-24,2022-05-23,199,2399,73048
Egypt,1952-07-23,2022-05-23,69,838,25506
El Salvador,1821-09-15,2022-05-23,200,2408,73299
Equatorial Guinea,1968-10-12,2022-05-23,53,643,19581
Eritrea,1991-05-24,2022-05-23,30,371,11322
Estonia,1918-02-24,2022-05-23,104,1250,38074
Estonia,1991-08-20,2022-05-23,30,369,11234
Eswatini,1968-09-06,2022-05-23,53,644,19617
Fiji,1970-10-10,2022-05-23,51,619,18853
Finland,1917-12-06,2022-05-23,104,1253,38154
France,1789-07-14,2022-05-23,232,2794,85049
